ProjectID,Vendor,BusinessUnit,Category,PlannedDays,ActualDays,Budget,ActualSpend,ScheduleVariancePct,BudgetVariancePct,ScheduleZscore,BudgetZscore,RiskTier,OTIF
PRJ-1072,Vendor B,BU-2,Software,88,105,33481,36923,19.32,10.28,0.2,0.32,Low,On-Time
PRJ-1073,Vendor B,BU-4,Software,75,88,42046,39343,17.33,-6.43,0.09,0.88,Low,On-Time
PRJ-1074,Vendor A,BU-1,Components,68,67,50862,38430,-1.47,-24.44,1.02,2.17,High,On-Time
PRJ-1075,Vendor C,BU-1,Hardware,79,101,48315,55906,27.85,15.71,0.71,0.71,Low,Delayed
PRJ-1076,Vendor D,BU-3,Components,81,74,85612,88338,-8.64,3.18,1.44,0.19,Medium,On-Time
PRJ-1077,Vendor B,BU-2,Hardware,98,122,96183,104666,24.49,8.82,0.51,0.21,Low,Delayed
PRJ-1078,Vendor A,BU-2,Software,77,79,47196,46013,2.6,-2.51,0.78,0.6,Low,On-Time
PRJ-1079,Vendor B,BU-1,Components,115,131,49880,58776,13.91,17.83,0.12,0.86,Low,On-Time
PRJ-1080,Vendor A,BU-3,Software,83,105,44178,39952,26.51,-9.57,0.63,1.1,Medium,Delayed
PRJ-1081,Vendor B,BU-3,Software,69,80,40240,39011,15.94,-3.05,0.0,0.64,Low,On-Time
PRJ-1082,Vendor A,BU-2,Components,52,69,55853,54311,32.69,-2.76,0.99,0.62,Low,Delayed
PRJ-1083,Vendor D,BU-4,Components,97,98,51489,57820,1.03,12.3,0.87,0.46,Low,On-Time
PRJ-1084,Vendor C,BU-2,Hardware,81,104,54196,50246,28.4,-7.29,0.74,0.94,Low,Delayed
PRJ-1085,Vendor A,BU-1,Software,99,81,49008,41972,-18.18,-14.36,2.01,1.45,High,On-Time
PRJ-1086,Vendor B,BU-1,Components,80,93,66594,72450,16.25,8.79,0.02,0.21,Low,On-Time
PRJ-1087,Vendor C,BU-2,Software,98,138,55567,62549,40.82,12.57,1.47,0.48,Medium,Delayed
PRJ-1088,Vendor D,BU-1,Components,97,123,48202,51180,26.8,6.18,0.64,0.02,Low,Delayed
PRJ-1089,Vendor C,BU-1,Components,95,113,54346,74505,18.95,37.09,0.18,2.24,High,On-Time
PRJ-1090,Vendor B,BU-4,Components,86,110,39853,29896,27.91,-24.98,0.71,2.21,High,Delayed
PRJ-1091,Vendor B,BU-3,Software,94,98,62441,53258,4.26,-14.71,0.68,1.47,Medium,On-Time
PRJ-1092,Vendor D,BU-3,Components,92,108,36877,36718,17.39,-0.43,0.09,0.45,Low,On-Time
PRJ-1093,Vendor C,BU-3,Software,92,120,43109,46619,30.43,8.14,0.86,0.17,Low,Delayed
PRJ-1094,Vendor A,BU-3,Components,112,121,44787,48036,8.04,7.25,0.46,0.1,Low,On-Time
PRJ-1095,Vendor D,BU-1,Hardware,85,80,43335,47388,-5.88,9.35,1.28,0.25,Medium,On-Time
PRJ-1096,Vendor A,BU-3,Hardware,110,126,25516,26410,14.55,3.5,0.08,0.17,Low,On-Time
PRJ-1097,Vendor B,BU-1,Services,63,84,59815,61331,33.33,2.53,1.03,0.24,Medium,Delayed
PRJ-1098,Vendor A,BU-3,Software,86,90,76732,78148,4.65,1.85,0.66,0.29,Low,On-Time
PRJ-1099,Vendor D,BU-3,Components,118,146,73897,75035,23.73,1.54,0.46,0.31,Low,Delayed
PRJ-1100,Vendor D,BU-4,Software,128,151,41178,42569,17.97,3.38,0.12,0.18,Low,On-Time
PRJ-1101,Vendor B,BU-4,Components,74,61,62347,64583,-17.57,3.59,1.97,0.16,Medium,On-Time
PRJ-1102,Vendor B,BU-2,Hardware,67,77,33118,33366,14.93,0.75,0.06,0.36,Low,On-Time
PRJ-1103,Vendor A,BU-2,Software,86,109,77734,81812,26.74,5.25,0.64,0.04,Low,Delayed
PRJ-1104,Vendor A,BU-3,Components,78,79,50010,49801,1.28,-0.42,0.86,0.45,Low,On-Time
PRJ-1105,Vendor C,BU-1,Hardware,92,113,41395,46111,22.83,11.39,0.41,0.4,Low,Delayed
PRJ-1106,Vendor A,BU-2,Software,110,97,18824,12244,-11.82,-34.96,1.63,2.92,High,On-Time
PRJ-1107,Vendor C,BU-1,Components,68,75,33341,48103,10.29,44.28,0.33,2.75,High,On-Time
PRJ-1108,Vendor A,BU-1,Hardware,88,90,39432,35001,2.27,-11.24,0.8,1.22,Medium,On-Time
PRJ-1109,Vendor C,BU-1,Components,82,108,31668,40933,31.71,29.26,0.93,1.68,Medium,Delayed
PRJ-1110,Vendor A,BU-1,Hardware,93,97,74695,68165,4.3,-8.74,0.68,1.04,Medium,On-Time
PRJ-1111,Vendor A,BU-2,Services,94,95,63860,61658,1.06,-3.45,0.87,0.66,Low,On-Time
PRJ-1112,Vendor D,BU-2,Components,109,114,61345,57347,4.59,-6.52,0.67,0.88,Low,On-Time
PRJ-1113,Vendor B,BU-3,Software,93,98,41826,45076,5.38,7.77,0.62,0.14,Low,On-Time
PRJ-1114,Vendor D,BU-2,Services,84,120,82328,89805,42.86,9.08,1.59,0.23,Medium,Delayed
PRJ-1115,Vendor A,BU-1,Hardware,90,95,41903,37173,5.56,-11.29,0.61,1.23,Medium,On-Time
PRJ-1116,Vendor A,BU-4,Components,65,76,80083,82069,16.92,2.48,0.06,0.24,Low,On-Time
PRJ-1117,Vendor D,BU-1,Components,93,112,74982,83802,20.43,11.76,0.27,0.42,Low,Delayed
PRJ-1118,Vendor A,BU-4,Software,95,73,44779,44876,-23.16,0.22,2.3,0.4,High,On-Time
PRJ-1119,Vendor C,BU-1,Components,76,78,35361,46994,2.63,32.9,0.78,1.94,Medium,On-Time
PRJ-1120,Vendor C,BU-2,Hardware,91,132,59113,62157,45.05,5.15,1.72,0.05,Medium,Delayed
PRJ-1121,Vendor A,BU-2,Software,107,117,49475,57339,9.35,15.89,0.38,0.72,Low,On-Time
PRJ-1122,Vendor C,BU-2,Components,97,145,33683,44393,49.48,31.8,1.98,1.86,Medium,Delayed
PRJ-1123,Vendor C,BU-2,Components,88,133,52665,55467,51.14,5.32,2.08,0.04,High,Delayed
PRJ-1124,Vendor D,BU-3,Hardware,109,132,43193,48517,21.1,12.33,0.31,0.46,Low,Delayed
PRJ-1125,Vendor B,BU-1,Services,96,103,54073,49311,7.29,-8.81,0.51,1.05,Medium,On-Time
PRJ-1126,Vendor D,BU-1,Hardware,96,101,66936,69880,5.21,4.4,0.63,0.1,Low,On-Time
PRJ-1127,Vendor D,BU-2,Hardware,91,107,43482,44110,17.58,1.44,0.1,0.31,Low,On-Time
PRJ-1128,Vendor A,BU-3,Components,86,91,56188,45415,5.81,-19.17,0.59,1.79,Medium,On-Time
PRJ-1129,Vendor C,BU-2,Software,94,145,51234,65783,54.26,28.4,2.26,1.62,High,Delayed
PRJ-1130,Vendor D,BU-4,Services,108,114,42352,32046,5.56,-24.33,0.61,2.16,High,On-Time
PRJ-1131,Vendor C,BU-4,Services,83,126,73693,84343,51.81,14.45,2.12,0.62,High,Delayed
PRJ-1132,Vendor A,BU-1,Components,74,62,20994,14537,-16.22,-30.76,1.89,2.62,High,On-Time
PRJ-1133,Vendor C,BU-1,Services,104,127,49258,61498,22.12,24.85,0.37,1.36,Medium,Delayed
PRJ-1134,Vendor C,BU-1,Services,107,153,26450,31580,42.99,19.4,1.6,0.97,Medium,Delayed
PRJ-1135,Vendor A,BU-1,Components,80,95,71307,67027,18.75,-6.0,0.17,0.85,Low,On-Time
PRJ-1136,Vendor C,BU-1,Hardware,79,90,85360,105413,13.92,23.49,0.12,1.26,Medium,On-Time
PRJ-1137,Vendor C,BU-1,Services,80,95,54287,65730,18.75,21.08,0.17,1.09,Medium,On-Time
PRJ-1138,Vendor C,BU-3,Components,63,65,63261,69894,3.17,10.49,0.75,0.33,Low,On-Time
PRJ-1139,Vendor B,BU-1,Components,82,88,49753,57187,7.32,14.94,0.5,0.65,Low,On-Time
PRJ-1140,Vendor B,BU-3,Hardware,109,103,25409,28484,-5.5,12.1,1.26,0.45,Medium,On-Time
PRJ-1141,Vendor D,BU-4,Hardware,102,121,66000,75146,18.63,13.86,0.16,0.57,Low,On-Time
PRJ-1142,Vendor C,BU-4,Components,84,100,39656,49268,19.05,24.24,0.19,1.32,Medium,On-Time
PRJ-1143,Vendor D,BU-4,Software,92,104,29602,34813,13.04,17.6,0.17,0.84,Low,On-Time
PRJ-1144,Vendor C,BU-3,Hardware,93,113,58070,68762,21.51,18.41,0.33,0.9,Low,Delayed
PRJ-1145,Vendor B,BU-3,Services,83,91,66104,62954,9.64,-4.77,0.37,0.76,Low,On-Time
PRJ-1146,Vendor A,BU-3,Components,82,86,55506,51766,4.88,-6.74,0.65,0.9,Low,On-Time
PRJ-1147,Vendor A,BU-1,Components,113,114,41672,50244,0.88,20.57,0.88,1.05,Medium,On-Time
PRJ-1148,Vendor A,BU-4,Software,71,73,59729,63470,2.82,6.26,0.77,0.03,Low,On-Time
PRJ-1149,Vendor A,BU-1,Hardware,70,81,59753,58062,15.71,-2.83,0.01,0.62,Low,On-Time
PRJ-1150,Vendor B,BU-3,Components,103,107,39336,37170,3.88,-5.51,0.71,0.81,Low,On-Time
PRJ-1151,Vendor A,BU-3,Components,88,104,55140,56320,18.18,2.14,0.14,0.26,Low,On-Time
PRJ-1152,Vendor C,BU-4,Hardware,75,102,68738,83567,36.0,21.57,1.19,1.13,Medium,Delayed
PRJ-1153,Vendor B,BU-1,Components,79,104,49397,43725,31.65,-11.48,0.93,1.24,Medium,Delayed
PRJ-1154,Vendor A,BU-3,Components,80,95,45846,44802,18.75,-2.28,0.17,0.58,Low,On-Time
PRJ-1155,Vendor A,BU-2,Software,66,86,61787,62678,30.3,1.44,0.85,0.31,Low,Delayed
PRJ-1156,Vendor C,BU-1,Software,86,102,86030,101402,18.6,17.87,0.16,0.86,Low,On-Time
PRJ-1157,Vendor C,BU-3,Components,93,94,46292,51214,1.08,10.63,0.87,0.34,Low,On-Time
PRJ-1158,Vendor A,BU-1,Components,92,81,64833,66652,-11.96,2.81,1.64,0.22,Medium,On-Time
PRJ-1159,Vendor A,BU-1,Components,110,123,50894,46641,11.82,-8.36,0.24,1.02,Medium,On-Time
PRJ-1160,Vendor C,BU-4,Hardware,81,119,51718,65777,46.91,27.18,1.83,1.53,Medium,Delayed
PRJ-1161,Vendor D,BU-2,Software,116,146,40228,39819,25.86,-1.02,0.59,0.49,Low,Delayed
PRJ-1162,Vendor D,BU-1,Services,74,73,59280,67890,-1.35,14.52,1.02,0.62,Medium,On-Time
PRJ-1163,Vendor B,BU-3,Hardware,90,97,59202,55864,7.78,-5.64,0.48,0.82,Low,On-Time
PRJ-1164,Vendor A,BU-1,Components,106,106,63993,67078,0.0,4.82,0.94,0.07,Low,On-Time
PRJ-1165,Vendor B,BU-2,Components,93,124,75258,75221,33.33,-0.05,1.03,0.42,Medium,Delayed
PRJ-1166,Vendor B,BU-4,Services,65,64,62007,64763,-1.54,4.44,1.03,0.1,Medium,On-Time
PRJ-1167,Vendor A,BU-3,Software,80,87,57410,57565,8.75,0.27,0.42,0.4,Low,On-Time
PRJ-1168,Vendor A,BU-1,Services,94,92,25242,24485,-2.13,-3.0,1.06,0.63,Medium,On-Time
PRJ-1169,Vendor D,BU-2,Software,107,112,44563,41192,4.67,-7.56,0.66,0.96,Low,On-Time
PRJ-1170,Vendor D,BU-2,Hardware,106,123,26661,26632,16.04,-0.11,0.01,0.43,Low,On-Time
PRJ-1171,Vendor A,BU-1,Software,104,100,26651,23977,-3.85,-10.03,1.16,1.14,Medium,On-Time
PRJ-1172,Vendor C,BU-3,Components,102,144,68217,80048,41.18,17.34,1.49,0.82,Medium,Delayed
PRJ-1173,Vendor D,BU-3,Services,86,92,48925,51185,6.98,4.62,0.52,0.09,Low,On-Time
PRJ-1174,Vendor B,BU-4,Components,88,84,47150,50806,-4.55,7.75,1.2,0.14,Medium,On-Time
PRJ-1175,Vendor B,BU-1,Components,103,112,64970,52437,8.74,-19.29,0.42,1.8,Medium,On-Time
PRJ-1176,Vendor B,BU-3,Components,75,88,54148,52518,17.33,-3.01,0.09,0.63,Low,On-Time
PRJ-1177,Vendor B,BU-4,Components,103,119,52256,55648,15.53,6.49,0.02,0.05,Low,On-Time
PRJ-1178,Vendor B,BU-3,Services,83,89,52963,56798,7.23,7.24,0.51,0.1,Low,On-Time
PRJ-1179,Vendor C,BU-1,Hardware,114,128,54539,60584,12.28,11.08,0.21,0.38,Low,On-Time
PRJ-1180,Vendor D,BU-1,Services,105,110,55109,65040,4.76,18.02,0.66,0.87,Low,On-Time
PRJ-1181,Vendor C,BU-4,Software,107,125,58961,73079,16.82,23.94,0.06,1.3,Medium,On-Time
PRJ-1182,Vendor C,BU-2,Hardware,91,118,30829,28159,29.67,-8.66,0.81,1.04,Medium,Delayed
PRJ-1183,Vendor C,BU-2,Software,80,99,74630,93112,23.75,24.76,0.46,1.35,Medium,Delayed
PRJ-1184,Vendor C,BU-2,Components,90,142,43186,50859,57.78,17.77,2.47,0.85,High,Delayed
PRJ-1185,Vendor B,BU-2,Components,105,156,70764,75706,48.57,6.98,1.93,0.08,Medium,Delayed
PRJ-1186,Vendor D,BU-3,Services,86,99,47166,52289,15.12,10.86,0.04,0.36,Low,On-Time
PRJ-1187,Vendor A,BU-2,Components,75,74,52698,58604,-1.33,11.21,1.01,0.38,Medium,On-Time
PRJ-1188,Vendor B,BU-3,Hardware,80,66,47985,48628,-17.5,1.34,1.97,0.32,Medium,On-Time
PRJ-1189,Vendor C,BU-1,Software,80,103,26105,33006,28.75,26.44,0.76,1.48,Medium,Delayed
PRJ-1190,Vendor D,BU-2,Hardware,81,101,57079,60629,24.69,6.22,0.52,0.03,Low,Delayed
PRJ-1191,Vendor C,BU-4,Services,79,95,28960,42920,20.25,48.2,0.26,3.03,High,Delayed
PRJ-1192,Vendor D,BU-4,Components,101,106,62043,62342,4.95,0.48,0.64,0.38,Low,On-Time
PRJ-1193,Vendor B,BU-3,Components,77,108,32186,34700,40.26,7.81,1.44,0.14,Medium,Delayed
PRJ-1194,Vendor C,BU-4,Components,108,161,26945,33133,49.07,22.97,1.96,1.23,Medium,Delayed
PRJ-1195,Vendor B,BU-3,Software,77,102,75165,74652,32.47,-0.68,0.98,0.47,Low,Delayed
PRJ-1196,Vendor C,BU-4,Components,94,116,25654,33088,23.4,28.98,0.44,1.66,Medium,Delayed
PRJ-1197,Vendor A,BU-1,Services,81,70,40260,33335,-13.58,-17.2,1.74,1.65,Medium,On-Time
PRJ-1198,Vendor A,BU-3,Components,80,91,65465,64698,13.75,-1.17,0.13,0.5,Low,On-Time
PRJ-1199,Vendor C,BU-3,Components,108,123,75088,90698,13.89,20.79,0.12,1.07,Medium,On-Time
PRJ-1200,Vendor B,BU-1,Software,75,86,36275,37769,14.67,4.12,0.07,0.12,Low,On-Time
PRJ-1201,Vendor B,BU-4,Components,106,124,33615,33041,16.98,-1.71,0.06,0.54,Low,On-Time
PRJ-1202,Vendor D,BU-4,Software,91,117,38762,41826,28.57,7.9,0.75,0.15,Low,Delayed
PRJ-1203,Vendor C,BU-1,Hardware,100,136,38210,38431,36.0,0.58,1.19,0.38,Medium,Delayed
PRJ-1204,Vendor A,BU-4,Software,77,63,82336,75032,-18.18,-8.87,2.01,1.05,High,On-Time
PRJ-1205,Vendor B,BU-4,Software,91,99,63786,64248,8.79,0.72,0.42,0.37,Low,On-Time
PRJ-1206,Vendor D,BU-4,Hardware,82,90,32181,32024,9.76,-0.49,0.36,0.45,Low,On-Time
PRJ-1207,Vendor C,BU-2,Services,106,158,49624,62645,49.06,26.24,1.95,1.46,Medium,Delayed
PRJ-1208,Vendor C,BU-4,Components,52,69,44424,47458,32.69,6.83,0.99,0.07,Low,Delayed
PRJ-1209,Vendor A,BU-1,Components,90,98,48942,50395,8.89,2.97,0.41,0.21,Low,On-Time
PRJ-1210,Vendor B,BU-3,Software,94,91,58101,53431,-3.19,-8.04,1.12,0.99,Medium,On-Time
PRJ-1211,Vendor C,BU-1,Components,86,125,52230,59945,45.35,14.77,1.74,0.64,Medium,Delayed
PRJ-1212,Vendor D,BU-1,Components,84,82,54536,54123,-2.38,-0.76,1.08,0.47,Medium,On-Time
PRJ-1213,Vendor A,BU-3,Services,96,114,64243,55533,18.75,-13.56,0.17,1.39,Medium,On-Time
PRJ-1214,Vendor B,BU-2,Components,88,118,42393,37809,34.09,-10.81,1.07,1.19,Medium,Delayed
PRJ-1215,Vendor B,BU-4,Hardware,81,58,41806,45019,-28.4,7.69,2.61,0.13,High,On-Time
PRJ-1216,Vendor B,BU-1,Components,75,78,20597,31517,4.0,53.02,0.7,3.38,High,On-Time
PRJ-1217,Vendor D,BU-1,Software,83,79,47405,58333,-4.82,23.05,1.22,1.23,Medium,On-Time
PRJ-1218,Vendor B,BU-2,Software,94,115,67134,63543,22.34,-5.35,0.38,0.8,Low,Delayed
PRJ-1219,Vendor B,BU-2,Hardware,122,140,61131,64461,14.75,5.45,0.07,0.03,Low,On-Time
PRJ-1220,Vendor C,BU-3,Components,72,92,51329,69178,27.78,34.77,0.7,2.07,High,Delayed
PRJ-1221,Vendor C,BU-1,Components,84,107,29793,30297,27.38,1.69,0.68,0.3,Low,Delayed
PRJ-1222,Vendor B,BU-4,Hardware,83,86,54238,52325,3.61,-3.53,0.72,0.67,Low,On-Time
PRJ-1223,Vendor C,BU-2,Components,104,140,28672,41339,34.62,44.18,1.1,2.75,High,Delayed
PRJ-1224,Vendor A,BU-1,Software,99,115,41249,40616,16.16,-1.53,0.02,0.53,Low,On-Time
PRJ-1225,Vendor D,BU-4,Components,90,105,72927,79112,16.67,8.48,0.05,0.19,Low,On-Time
PRJ-1226,Vendor D,BU-3,Components,98,105,41078,36725,7.14,-10.6,0.51,1.18,Medium,On-Time
PRJ-1227,Vendor B,BU-2,Software,86,100,54611,60328,16.28,10.47,0.02,0.33,Low,On-Time
PRJ-1228,Vendor A,BU-4,Services,102,99,68205,66140,-2.94,-3.03,1.11,0.63,Medium,On-Time
PRJ-1229,Vendor C,BU-4,Hardware,92,105,55995,62817,14.13,12.18,0.1,0.45,Low,On-Time
PRJ-1230,Vendor D,BU-1,Software,97,113,84506,94108,16.49,11.36,0.04,0.4,Low,On-Time
PRJ-1231,Vendor B,BU-2,Software,101,126,69346,74792,24.75,7.85,0.52,0.14,Low,Delayed
PRJ-1232,Vendor A,BU-2,Components,102,108,69319,65818,5.88,-5.05,0.59,0.78,Low,On-Time
PRJ-1233,Vendor A,BU-3,Hardware,72,80,67949,63541,11.11,-6.49,0.28,0.88,Low,On-Time
PRJ-1234,Vendor C,BU-1,Hardware,68,71,43187,46858,4.41,8.5,0.68,0.19,Low,On-Time
PRJ-1235,Vendor D,BU-4,Components,115,125,53370,60701,8.7,13.74,0.42,0.57,Low,On-Time
PRJ-1236,Vendor B,BU-2,Hardware,107,122,52716,50118,14.02,-4.93,0.11,0.77,Low,On-Time
PRJ-1237,Vendor B,BU-3,Components,113,145,80922,89391,28.32,10.47,0.73,0.33,Low,Delayed
PRJ-1238,Vendor C,BU-4,Components,89,132,66738,75504,48.31,13.13,1.91,0.52,Medium,Delayed
PRJ-1239,Vendor C,BU-4,Software,72,92,39247,36978,27.78,-5.78,0.7,0.83,Low,Delayed
PRJ-1240,Vendor A,BU-1,Software,92,100,77927,70985,8.7,-8.91,0.42,1.06,Medium,On-Time
